frame_id,det_person_id,track_status,person_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0,largest_selected,0.9315029382705688,1133.647216796875,1461.4375,1487.0440673828125,2655.0517578125,1220.6927490234375,1586.95654296875,0.989546000957489,1245.80615234375,1570.58642578125,0.9938841462135315,1223.6195068359375,1564.75927734375,0.7138160467147827,1314.705322265625,1593.7672119140625,0.993893027305603,1242.8038330078125,1581.05615234375,0.06101115420460701,1400.1480712890625,1717.3736572265625,0.9982396364212036,1199.4727783203125,1708.628662109375,0.996000349521637,1452.6002197265625,1883.9549560546875,0.9941030144691467,1162.36474609375,1863.347900390625,0.9859419465065002,1323.7686767578125,1903.380126953125,0.9937008619308472,1232.9739990234375,1929.8609619140625,0.9873100519180298,1374.55126953125,2044.27392578125,0.9995177984237671,1239.37841796875,2044.2890625,0.9994205236434937,1402.38916015625,2287.99169921875,0.9983757734298706,1263.2965087890625,2300.83984375,0.9980954527854919,1429.69482421875,2523.58154296875,0.9803314805030823,1301.854248046875,2530.40283203125,0.9813535213470459
2,0,iou,0.928206205368042,1130.5814208984375,1450.9091796875,1482.056396484375,2656.93896484375,1218.5301513671875,1577.326171875,0.9904500842094421,1243.587646484375,1561.2314453125,0.9944766163825989,1221.259521484375,1555.5494384765625,0.7272549271583557,1311.3572998046875,1585.2432861328125,0.9944669008255005,1239.4207763671875,1572.4478759765625,0.06230170652270317,1398.724609375,1707.598876953125,0.9983440637588501,1195.8359375,1697.09912109375,0.9963204860687256,1453.8746337890625,1872.7158203125,0.9942277669906616,1159.462890625,1852.763671875,0.9872395396232605,1325.707275390625,1891.4150390625,0.9940891265869141,1236.8216552734375,1920.6396484375,0.9889849424362183,1371.442138671875,2034.658447265625,0.999537467956543,1235.931640625,2033.6605224609375,0.9994558691978455,1393.6990966796875,2279.933349609375,0.9984309077262878,1259.2275390625,2291.45751953125,0.9982172846794128,1402.374267578125,2510.517578125,0.9810681939125061,1298.1661376953125,2523.06640625,0.982329785823822
3,0,iou,0.9291500449180603,1126.805908203125,1442.697265625,1480.1083984375,2657.423095703125,1213.576171875,1574.1005859375,0.9843388795852661,1238.4429931640625,1557.636474609375,0.989550769329071,1216.6787109375,1552.142333984375,0.7052954435348511,1308.580322265625,1579.126953125,0.9883239269256592,1238.9415283203125,1566.7188720703125,0.0762125700712204,1398.6436767578125,1700.8544921875,0.9962840676307678,1190.9119873046875,1692.7452392578125,0.9937412142753601,1449.0728759765625,1862.3184814453125,0.9876024127006531,1155.975830078125,1844.546142578125,0.9785585403442383,1325.3896484375,1882.992919921875,0.989216685295105,1240.2618408203125,1914.96044921875,0.9822388887405396,1363.5062255859375,2028.7158203125,0.9985519051551819,1225.8553466796875,2025.3702392578125,0.9984283447265625,1377.921875,2278.096435546875,0.9952579140663147,1245.81982421875,2282.19091796875,0.9948368072509766,1380.052490234375,2511.8974609375,0.9492022395133972,1290.2861328125,2505.790283203125,0.9533330202102661
4,0,iou,0.9257718920707703,1125.5762939453125,1447.9969482421875,1479.5535888671875,2651.48388671875,1210.13037109375,1575.385986328125,0.9845667481422424,1234.666748046875,1558.8790283203125,0.9896361231803894,1213.0877685546875,1553.461669921875,0.6987863779067993,1304.74365234375,1579.68798828125,0.988689124584198,1234.9461669921875,1567.7545166015625,0.07214291393756866,1397.9661865234375,1695.826171875,0.9962943196296692,1187.4630126953125,1689.576416015625,0.9940313696861267,1448.980712890625,1852.5634765625,0.9875473976135254,1155.733642578125,1842.9736328125,0.978419303894043,1332.238525390625,1879.07373046875,0.9901940226554871,1245.5753173828125,1912.870849609375,0.9831961393356323,1360.808837890625,2025.407958984375,0.998342752456665,1220.26806640625,2020.9083251953125,0.9982125759124756,1367.892822265625,2277.25732421875,0.995238184928894,1223.3099365234375,2276.45947265625,0.9946885108947754,1361.3204345703125,2517.5966796875,0.9504896402359009,1274.693359375,2497.462890625,0.9543614387512207
5,0,iou,0.9242106080055237,1123.465087890625,1452.5830078125,1479.153564453125,2641.4951171875,1206.9486083984375,1578.66943359375,0.9842029809951782,1232.0343017578125,1562.830810546875,0.9891021251678467,1209.8583984375,1555.842041015625,0.6966138482093811,1301.5228271484375,1583.525390625,0.9877510070800781,1230.15478515625,1568.54736328125,0.0709664523601532,1394.9359130859375,1693.133056640625,0.9960228204727173,1183.5782470703125,1686.289794921875,0.993793249130249,1446.875,1847.1273193359375,0.9871249794960022,1156.080078125,1843.9324951171875,0.978346049785614,1339.67529296875,1872.64697265625,0.9904417991638184,1252.2001953125,1907.622802734375,0.9837985038757324,1356.9801025390625,2028.037353515625,0.9981776475906372,1214.0618896484375,2022.56640625,0.9980494976043701,1358.790771484375,2275.15234375,0.9950284361839294,1202.9891357421875,2272.7060546875,0.9944465160369873,1348.603515625,2515.353515625,0.9501891136169434,1252.8699951171875,2492.0751953125,0.9540360569953918
6,0,iou,0.9249509572982788,1119.777099609375,1459.7584228515625,1478.6173095703125,2630.23095703125,1202.868896484375,1583.0562744140625,0.9844210147857666,1228.264404296875,1567.5245361328125,0.9897796511650085,1206.5106201171875,1559.83251953125,0.6978396773338318,1299.1119384765625,1589.0400390625,0.9882857799530029,1228.1414794921875,1572.5078125,0.0670354813337326,1389.757568359375,1693.6109619140625,0.9958289265632629,1181.8509521484375,1687.063232421875,0.9931575655937195,1445.828125,1842.854736328125,0.9863042235374451,1153.133056640625,1844.765380859375,0.9749714136123657,1342.434326171875,1868.5653076171875,0.9894559979438782,1257.390380859375,1904.3037109375,0.9805853962898254,1353.140380859375,2032.0418701171875,0.9979123473167419,1210.1480712890625,2025.9202880859375,0.9977012276649475,1355.374267578125,2276.59765625,0.9943332672119141,1187.7470703125,2269.390625,0.993463933467865,1351.106689453125,2513.8740234375,0.9450095891952515,1232.5938720703125,2483.671875,0.9486966133117676
7,0,iou,0.9252409338951111,1114.6298828125,1460.4464111328125,1477.666015625,2623.591552734375,1196.3221435546875,1585.796875,0.9850615859031677,1222.183349609375,1569.65771484375,0.9904503226280212,1199.044677734375,1562.071533203125,0.7029562592506409,1295.0830078125,1589.656982421875,0.988593578338623,1220.072509765625,1573.324951171875,0.06306309998035431,1384.3775634765625,1694.690185546875,0.9957279562950134,1177.8985595703125,1689.1944580078125,0.9929457306861877,1446.1820068359375,1839.722412109375,0.9858993887901306,1149.793701171875,1847.289794921875,0.9749167561531067,1353.447021484375,1862.1031494140625,0.988985538482666,1262.580810546875,1902.237548828125,0.980398952960968,1348.525146484375,2030.8883056640625,0.9978106617927551,1204.2093505859375,2025.2493896484375,0.9975939393043518,1363.0350341796875,2273.634765625,0.99395352602005,1178.0794677734375,2265.34375,0.993119478225708,1355.01220703125,2509.416015625,0.9416496753692627,1210.840576171875,2479.89794921875,0.9461737275123596
8,0,iou,0.9190988540649414,1110.751708984375,1450.19091796875,1471.733642578125,2617.31640625,1192.50537109375,1584.6822509765625,0.990323543548584,1217.43701171875,1568.6246337890625,0.9942095279693604,1194.1341552734375,1560.931884765625,0.7116406559944153,1286.447509765625,1587.3746337890625,0.9941851496696472,1209.916748046875,1572.017822265625,0.05172276869416237,1374.02783203125,1688.86572265625,0.9979230761528015,1173.1259765625,1683.7646484375,0.9963222742080688,1444.93359375,1833.151123046875,0.9922250509262085,1146.87060546875,1850.9697265625,0.9848275184631348,1354.8494873046875,1854.819091796875,0.9941442608833313,1268.402099609375,1901.8487548828125,0.9888446927070618,1343.177978515625,2029.14990234375,0.9989529848098755,1199.2774658203125,2023.888427734375,0.9988279938697815,1371.9739990234375,2275.13671875,0.997724711894989,1157.4208984375,2263.743408203125,0.9973037242889404,1351.05859375,2512.27978515625,0.978053092956543,1195.8438720703125,2473.99609375,0.9798756837844849
9,0,iou,0.9232603907585144,1095.92822265625,1454.724853515625,1462.7911376953125,2617.3759765625,1183.013916015625,1581.870361328125,0.9855496287345886,1208.53125,1566.069580078125,0.9899827837944031,1184.8441162109375,1558.9222412109375,0.6798616647720337,1279.9169921875,1586.334716796875,0.989204466342926,1200.902587890625,1573.22900390625,0.05974918603897095,1367.6400146484375,1687.494140625,0.9963571429252625,1164.73583984375,1687.185546875,0.9945584535598755,1438.850341796875,1823.5543212890625,0.9882782101631165,1143.491943359375,1847.8861083984375,0.9780429601669312,1361.23583984375,1847.0181884765625,0.9907279014587402,1271.146240234375,1899.4566650390625,0.9795687794685364,1337.1944580078125,2028.3592529296875,0.9982681274414062,1192.49169921875,2022.9993896484375,0.9981127977371216,1367.956298828125,2277.916015625,0.9962765574455261,1151.8551025390625,2263.6083984375,0.995690643787384,1359.2998046875,2506.827392578125,0.9670569896697998,1157.911376953125,2467.527099609375,0.9706855416297913
10,0,iou,0.9205968976020813,1066.76513671875,1451.0113525390625,1455.6265869140625,2613.06591796875,1173.58056640625,1583.1602783203125,0.9796177744865417,1198.360107421875,1567.5750732421875,0.985592246055603,1176.738525390625,1561.1689453125,0.5938708782196045,1268.9169921875,1588.6776123046875,0.9877653121948242,1197.542236328125,1573.7640380859375,0.051252737641334534,1355.1226806640625,1691.904052734375,0.9973649382591248,1160.73876953125,1691.267578125,0.992949366569519,1429.6484375,1816.622802734375,0.991058349609375,1138.6595458984375,1846.960205078125,0.9736072421073914,1357.548583984375,1841.023681640625,0.9892639517784119,1269.8502197265625,1893.18310546875,0.9735236763954163,1327.450439453125,2032.69384765625,0.9988136291503906,1180.80126953125,2028.022705078125,0.9984034895896912,1360.77734375,2278.7080078125,0.9975767731666565,1136.90869140625,2266.007568359375,0.9966991543769836,1369.572998046875,2506.006591796875,0.9806078672409058,1131.5716552734375,2467.05029296875,0.979710578918457
11,0,iou,0.9234070181846619,1045.18798828125,1452.945556640625,1450.15576171875,2613.41455078125,1166.5296630859375,1583.49267578125,0.9841324090957642,1191.6480712890625,1567.760009765625,0.9885275363922119,1166.32568359375,1562.031005859375,0.7004801630973816,1262.262939453125,1587.55908203125,0.9873031973838806,1178.343994140625,1577.5345458984375,0.07283739000558853,1348.5325927734375,1691.1807861328125,0.9945149421691895,1149.9534912109375,1696.88720703125,0.9943795800209045,1423.89990234375,1819.307373046875,0.9755997061729431,1128.4561767578125,1846.193115234375,0.9728263020515442,1362.6634521484375,1830.1973876953125,0.9757810235023499,1278.55615234375,1881.3870849609375,0.9648086428642273,1317.2615966796875,2025.8038330078125,0.9965357780456543,1171.590087890625,2024.952392578125,0.9968915581703186,1365.00048828125,2271.7978515625,0.9952813982963562,1130.406005859375,2272.40234375,0.9953318238258362,1372.594482421875,2515.314208984375,0.974602222442627,1106.343994140625,2459.07177734375,0.9795179963111877
12,0,iou,0.9265575408935547,1031.3331298828125,1457.4501953125,1452.7188720703125,2613.586181640625,1154.123779296875,1585.124267578125,0.9839940071105957,1178.517333984375,1569.257568359375,0.9885363578796387,1153.65966796875,1564.19775390625,0.6887909173965454,1249.347900390625,1587.6998291015625,0.9878199100494385,1165.92626953125,1579.405517578125,0.06787697225809097,1335.0814208984375,1685.8260498046875,0.9948009252548218,1141.6898193359375,1694.81689453125,0.9949209094047546,1409.491455078125,1813.93212890625,0.977618396282196,1121.363525390625,1845.396240234375,0.9771634340286255,1362.3905029296875,1824.28173828125,0.9768376350402832,1275.517333984375,1876.962890625,0.9692176580429077,1309.696533203125,2022.0179443359375,0.9972890615463257,1165.2117919921875,2023.67138671875,0.9976423382759094,1356.5621337890625,2270.740966796875,0.9961647987365723,1117.251220703125,2278.1064453125,0.9963155388832092,1376.5584716796875,2512.0576171875,0.9788995385169983,1089.65966796875,2458.190185546875,0.983221173286438
13,0,iou,0.9301050305366516,1024.389404296875,1460.4405517578125,1460.1544189453125,2615.488037109375,1141.01123046875,1590.72900390625,0.9855190515518188,1165.3199462890625,1574.362548828125,0.9893693923950195,1139.5926513671875,1569.584716796875,0.6988129615783691,1236.5836181640625,1590.781982421875,0.9880965948104858,1151.055419921875,1583.4422607421875,0.06609001010656357,1319.14794921875,1685.681396484375,0.9954553842544556,1130.915771484375,1697.814208984375,0.9952208399772644,1389.4949951171875,1806.6324462890625,0.9815466403961182,1116.6470947265625,1848.7738037109375,0.9800415635108948,1369.37451171875,1818.23388671875,0.9809011816978455,1276.79541015625,1878.893310546875,0.9739667177200317,1296.7861328125,2022.708984375,0.9976957440376282,1153.6629638671875,2026.51220703125,0.9979299306869507,1351.1083984375,2271.98291015625,0.9965569972991943,1106.22021484375,2281.66259765625,0.9966081380844116,1380.0775146484375,2515.767578125,0.9798349738121033,1080.9063720703125,2461.551513671875,0.9836574196815491
14,0,iou,0.9288976192474365,1026.1260986328125,1462.4674072265625,1464.471923828125,2617.943115234375,1128.3721923828125,1598.951904296875,0.9841282963752747,1151.9080810546875,1581.812744140625,0.9880488514900208,1126.42626953125,1577.6356201171875,0.6942042112350464,1222.8382568359375,1595.674072265625,0.9866489768028259,1138.312255859375,1589.5316162109375,0.06909164041280746,1296.080322265625,1693.5677490234375,0.9947794675827026,1122.30224609375,1699.5545654296875,0.9951752424240112,1331.646728515625,1829.466064453125,0.9791049361228943,1114.4239501953125,1854.421630859375,0.9821226596832275,1350.494384765625,1820.6971435546875,0.9760368466377258,1273.6943359375,1886.072021484375,0.9746948480606079,1279.030029296875,2029.144775390625,0.9979320764541626,1142.54345703125,2033.631591796875,0.9982650876045227,1337.69580078125,2271.302734375,0.9967641830444336,1104.627685546875,2283.564453125,0.9970732927322388,1383.0943603515625,2510.972412109375,0.9814081788063049,1081.368408203125,2468.65478515625,0.9855473041534424
