frame_id,time_seconds,person_conf,bbox_center_x,bbox_center_y,bbox_width_px,bbox_height_px,pelvis_x,pelvis_y,body_scale_px,shoulder_line_angle_deg,hip_line_angle_deg,torso_lean_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,pelvis_source,shoulder_width_px,hip_width_px,torso_length_px,torso_rotation_proxy_deg,left_shoulder_x,left_shoulder_y,left_shoulder_norm_x,left_shoulder_norm_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_norm_x,right_shoulder_norm_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_norm_x,left_elbow_norm_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_norm_x,right_elbow_norm_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_norm_x,left_wrist_norm_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_norm_x,right_wrist_norm_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_norm_x,left_hip_norm_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_norm_x,right_hip_norm_y,right_hip_conf,is_consecutive,left_wrist_speed_px_per_frame,left_wrist_speed_px_per_second,left_wrist_speed_norm_per_frame,left_wrist_accel_norm_per_frame2,right_wrist_speed_px_per_frame,right_wrist_speed_px_per_second,right_wrist_speed_norm_per_frame,right_wrist_accel_norm_per_frame2
1,0.0,0.9315029382705688,1310.3456420898438,2058.24462890625,353.3968505859375,1193.6142578125,1306.96484375,2044.281494140625,249.63465551476094,-177.50475260088584,179.99358399200432,-91.23718270356261,81.09657809983486,119.80181406163194,hips,200.86574657639684,135.1728524100084,331.35757984201905,2.501663407109845,1400.1480712890625,1717.3736572265625,0.3732784109919088,-1.309545087960483,0.9982396364212036,1199.4727783203125,1708.628662109375,-0.43059752744679103,-1.3445762622145336,0.996000349521637,1452.6002197265625,1883.9549560546875,0.5833940631209799,-0.6422447146023657,0.9941030144691468,1162.36474609375,1863.347900390625,-0.5792468892513194,-0.7247935723383622,0.9859419465065002,1323.7686767578125,1903.380126953125,0.06731370279163378,-0.564430314761199,0.9937008619308472,1232.9739990234375,1929.8609619140625,-0.29639652625149,-0.4583519543415189,0.9873100519180298,1374.55126953125,2044.27392578125,0.27074135857412474,-3.0317743181104444e-05,0.9995177984237672,1239.37841796875,2044.2890625,-0.27074135857412474,3.0317743181104444e-05,0.9994205236434937,True,,,,,,,,
2,0.03333333333333333,0.928206205368042,1306.3189086914062,2053.924072265625,351.4749755859375,1206.02978515625,1303.6868896484375,2034.1594848632812,252.33381229627878,-177.03751080944838,-179.5780707262818,-91.10613280999607,79.83108976286093,118.11236412615801,hips,203.16017830349503,135.51417245007227,331.8723297362216,2.5405599168334163,1398.724609375,1707.598876953125,0.376634898279005,-1.2941611151450594,0.99834406375885,1195.8359375,1697.09912109375,-0.42741379431863,-1.3357716934652042,0.9963204860687256,1453.8746337890625,1872.7158203125,0.5951946858563745,-0.6398019475932203,0.9942277669906616,1159.462890625,1852.763671875,-0.5715603379149851,-0.718872398976379,0.9872395396232604,1325.707275390625,1891.4150390625,0.08726688485303814,-0.565696862032811,0.994089126586914,1236.8216552734375,1920.6396484375,-0.264987215809548,-0.4498796074641454,0.9889849424362184,1371.442138671875,2034.658447265625,0.26851434774774613,0.001977390179314896,0.999537467956543,1235.931640625,2033.6605224609373,-0.26851434774774613,-0.001977390179315797,0.9994558691978456,True,12.121117641930693,363.6335292579208,0.019993339300046327,,9.991850722023285,299.75552166069855,0.03253191423892586,
3,0.06666666666666667,0.9291500449180604,1303.4571533203125,2050.0601806640625,353.302490234375,1214.725830078125,1294.6807861328125,2027.0430297851562,255.78568388762068,-177.76447122579228,-178.60770999454505,-89.98316295128998,82.14474310696588,116.91545947552169,hips,207.88991025571013,137.6915297912569,330.24317832154793,0.8432387687527694,1398.6436767578125,1700.8544921875,0.40644530626145614,-1.2752415719285017,0.9962840676307678,1190.9119873046875,1692.7452392578125,-0.4056864999282594,-1.306944882318814,0.99374121427536,1449.0728759765625,1862.3184814453125,0.6035994176733601,-0.6439944012355884,0.9876024127006532,1155.975830078125,1844.546142578125,-0.5422702081936198,-0.7134757678119749,0.9785585403442384,1325.3896484375,1882.992919921875,0.1200570017756718,-0.5631672096495033,0.989216685295105,1240.2618408203125,1914.96044921875,-0.21275211530762972,-0.4381894203885534,0.9822388887405396,1363.5062255859375,2028.7158203125,0.2690746346983337,0.00653981294777502,0.998551905155182,1225.8553466796875,2025.3702392578125,-0.2690746346983337,-0.00653981294777502,0.9984283447265624,True,8.428106412488718,252.84319237466156,0.032887549452343824,0.012894210152297497,6.639893098776384,199.19679296329153,0.05352724725135638,0.02099533301243052
4,0.1,0.9257718920707704,1302.56494140625,2049.7404174804688,353.977294921875,1203.4869384765625,1290.5384521484375,2023.1581420898438,255.73383219970435,-178.299410555664,-178.16621193580758,-89.62269729462,84.76504684230154,116.19656345756395,hips,210.59592978026808,140.6127844602296,330.46401332579245,-0.13319861985641523,1397.9661865234375,1695.826171875,0.42007634833043495,-1.279971317831846,0.9962943196296692,1187.4630126953125,1689.576416015625,-0.40305750149097463,-1.3044098358238436,0.9940313696861268,1448.980712890625,1852.5634765625,0.6195592479076403,-0.6670789862255111,0.9875473976135254,1155.733642578125,1842.9736328125,-0.5271293532450664,-0.7045783020865084,0.978419303894043,1332.238525390625,1879.07373046875,0.16306044798024072,-0.5634155261419507,0.9901940226554872,1245.5753173828125,1912.870849609375,-0.1758200484420574,-0.4312581230720565,0.9831961393356324,1360.808837890625,2025.407958984375,0.2747793873722303,0.00879749415702789,0.998342752456665,1220.26806640625,2020.9083251953125,-0.2747793873722303,-0.00879749415702789,0.9982125759124756,True,7.8909544092291535,236.7286322768746,0.043004163130442086,0.010116613678098262,5.709593655220743,171.2878096566223,0.0375768605055396,-0.01595038674581678
5,0.13333333333333333,0.9242106080055236,1301.309326171875,2047.0390625,355.6884765625,1188.912109375,1285.52099609375,2025.3018798828125,254.3482243306346,-178.14554590195317,-177.80777269189022,-89.36216004182513,84.75224163451304,113.63416878634567,hips,211.46842131751916,143.0228892164931,335.61125012077775,-0.3377732100629487,1394.9359130859375,1693.133056640625,0.43017763257492175,-1.3059608499974888,0.9960228204727172,1183.5782470703125,1686.289794921875,-0.40079992416585214,-1.3328659394147997,0.993793249130249,1446.875,1847.1273193359373,0.6343822699406829,-0.7005142694263946,0.9871249794960022,1156.080078125,1843.9324951171875,-0.508912213990871,-0.7130750971151176,0.978346049785614,1339.67529296875,1872.64697265625,0.21291399622512508,-0.6001807468021557,0.9904417991638184,1252.2001953125,1907.622802734375,-0.13100465265263786,-0.46266915154659416,0.9837985038757324,1356.9801025390625,2028.037353515625,0.28094989313713764,0.010754836759766717,0.9981776475906372,1214.0618896484375,2022.56640625,-0.28094989313713764,-0.010754836759766717,0.99804949760437,True,9.828973903291278,294.8692170987383,0.06194398859291013,0.018939825462468043,8.451686434402179,253.55059303206536,0.054727254723679834,0.017150394218140234
6,0.16666666666666666,0.9249509572982788,1299.1972045898438,2044.9946899414062,358.8402099609375,1170.4725341796875,1281.6442260742188,2028.9810791015625,250.31391500775345,-178.19614539941972,-177.54863196554115,-89.29619179637346,83.37322126096592,109.40883929753593,hips,208.00969647058506,143.12328378994596,338.66953270735223,-0.6475134338785722,1389.757568359375,1693.6109619140625,0.4319110357161225,-1.3397981377787644,0.9958289265632628,1181.8509521484375,1687.063232421875,-0.3986724985811922,-1.3659562101016103,0.9931575655937196,1445.828125,1842.854736328125,0.6559119932293643,-0.7435716978325886,0.9863042235374452,1153.133056640625,1844.765380859375,-0.51340002184702,-0.7359387041526694,0.9749714136123656,1342.434326171875,1868.5653076171875,0.2428554565005836,-0.6408583856770653,0.9894559979438782,1257.390380859375,1904.3037109375,-0.09689371529382411,-0.4980840484245577,0.9805853962898254,1353.140380859375,2032.0418701171875,0.2856259700262435,0.01222781009010303,0.997912347316742,1210.1480712890625,2025.9202880859373,-0.2856259700262435,-0.012227810090103939,0.9977012276649476,True,4.92668790436854,147.80063713105622,0.05050902244019793,-0.011434966152712202,6.160713949460164,184.82141848380493,0.04917083452997019,-0.005556420193709645
7,0.2,0.9252409338951112,1296.14794921875,2042.0189819335938,363.0361328125,1163.1451416015625,1276.3672485351562,2028.06884765625,248.66920729807396,-178.47535264404235,-177.7623945116836,-89.18682676176022,80.48741965572066,105.89421710676532,hips,206.5521291957573,144.42591983307824,336.1603814490818,-0.7129581323587502,1384.3775634765625,1694.690185546875,0.4343533970892376,-1.3406511635747558,0.9957279562950134,1177.8985595703125,1689.1944580078125,-0.3959826390841052,-1.3627517187612084,0.9929457306861876,1446.1820068359375,1839.722412109375,0.6828941956501605,-0.7574176054742014,0.9858993887901306,1149.793701171875,1847.289794921875,-0.5090037031065149,-0.7269860820269531,0.9749167561531068,1353.447021484375,1862.1031494140625,0.3099691103162002,-0.6674155599943193,0.988985538482666,1262.580810546875,1902.237548828125,-0.05544087319084815,-0.5060188199228624,0.980398952960968,1348.525146484375,2030.8883056640625,0.2901762495375021,0.011338187138035477,0.9978106617927552,1204.2093505859375,2025.2493896484373,-0.2901762495375021,-0.011338187138036391,0.9975939393043518,True,12.76867051372911,383.06011541187326,0.0721770464635361,0.021668024023338166,5.586554054432687,167.59662163298063,0.042205434687307315,-0.006965399842662874
8,0.23333333333333334,0.9190988540649414,1291.24267578125,2033.753662109375,360.98193359375,1167.12548828125,1271.2277221679688,2026.5191650390625,246.37398873885388,-178.54552244516788,-177.9060112221769,-89.60436652666084,77.35371160741052,103.79257248032089,hips,200.96660540739526,143.996668951191,340.2120902010913,-0.6395112229909898,1374.02783203125,1688.86572265625,0.4172522853954565,-1.3704914390971321,0.9979230761528016,1173.1259765625,1683.7646484375,-0.3981822355015427,-1.391196036383808,0.9963222742080688,1444.93359375,1833.151123046875,0.7050495568594792,-0.7848557511367384,0.9922250509262084,1146.87060546875,1850.9697265625,-0.5047493744602727,-0.7125323552829985,0.9848275184631348,1354.8494873046875,1854.819091796875,0.3394098766869189,-0.6969082820840409,0.9941442608833312,1268.402099609375,1901.8487548828125,-0.011468834729906459,-0.5060209918848025,0.9888446927070618,1343.177978515625,2029.14990234375,0.2920367394137557,0.010677820812796807,0.9989529848098756,1199.2774658203125,2023.888427734375,-0.2920367394137557,-0.010677820812796807,0.9988279938697816,True,7.417843739770477,222.53531219311432,0.04167228552355617,-0.030504760939979926,5.834258057464872,175.02774172394618,0.04397203851458281,0.0017666038272754966
9,0.26666666666666666,0.9232603907585144,1279.3596801757812,2036.0504150390625,366.8629150390625,1162.651123046875,1264.8430786132812,2025.6793212890625,246.78359511697357,-179.91285982240885,-177.8787051676854,-89.77225907687607,79.19436593002366,104.4674402298326,hips,202.90440947222837,144.80199078589803,338.34215031422104,-2.0341546547234373,1367.6400146484375,1687.494140625,0.41654687778752586,-1.3703713997025015,0.9963571429252625,1164.73583984375,1687.185546875,-0.405647866188517,-1.3716218626834535,0.9945584535598756,1438.850341796875,1823.5543212890625,0.7051006089003429,-0.8190374238781726,0.9882782101631165,1143.491943359375,1847.8861083984373,-0.49173096451725945,-0.7204417814172477,0.9780429601669312,1361.23583984375,1847.0181884765625,0.3905963084166081,-0.7239587085511741,0.9907279014587402,1271.146240234375,1899.4566650390625,0.02554125049562593,-0.5114710164999882,0.9795687794685364,1337.1944580078125,2028.3592529296875,0.29317742680682335,0.010859439985687593,0.9982681274414062,1192.49169921875,2022.9993896484373,-0.29317742680682335,-0.010859439985688514,0.9981127977371216,True,10.081646262692052,302.44938788076155,0.05789452793893314,0.016222242415376974,3.640384813498058,109.21154440494173,0.037409212457726236,-0.006562826056856576
10,0.3,0.9205968976020812,1261.1958618164062,2032.0386352539062,388.8614501953125,1162.0545654296875,1254.1258544921875,2030.3582763671875,242.44929724868206,-179.8123961065046,-178.17560305786995,-89.35651835202461,77.8369997262348,101.33762044312174,hips,194.3849531399422,146.72354484458225,338.793827172182,-1.6367930486346438,1355.1226806640625,1691.904052734375,0.41656885508841796,-1.3959793964082208,0.9973649382591248,1160.73876953125,1691.267578125,-0.38518191646952754,-1.3986045828558522,0.992949366569519,1429.6484375,1816.622802734375,0.7239558332387233,-0.8815677176972075,0.991058349609375,1138.6595458984375,1846.960205078125,-0.47624930203577925,-0.7564388652401401,0.9736072421073914,1357.548583984375,1841.023681640625,0.42657467217199657,-0.7809244938019374,0.989263951778412,1269.8502197265625,1893.18310546875,0.06485630361818043,-0.5657891050009352,0.9735236763954164,1327.450439453125,2032.69384765625,0.3024326562008052,0.009633235961360148,0.9988136291503906,1180.80126953125,2028.022705078125,-0.3024326562008052,-0.009633235961360148,0.9984034895896912,True,7.037753048992035,211.13259146976105,0.06737613336895446,0.009481605430021314,6.406029881208027,192.1808964362408,0.06705317397726965,0.02964396151954341
